time,avgSpeed,flow,avgDensity
10001,2.208433651125797,0,0.008463541666666666
10002,2.235105905110041,0,0.008463541666666666
10003,2.261768689023217,0,0.008463541666666666
10004,2.2884217266593807,0,0.008463541666666666
10005,2.315064781338328,0,0.008463541666666666
10006,2.341834475612137,0,0.008463541666666666
10007,2.3687190104731357,0,0.008463541666666666
10008,2.395672518588121,0,0.008463541666666666
10009,2.422668892236928,0,0.008463541666666666
10010,2.4496920349612434,0,0.008463541666666666
10011,2.378895265034711,1,0.008463541666666666
10012,2.405978456971604,0,0.008463541666666666
10013,2.334642456345076,1,0.008519345238095237
10014,2.361767127407926,0,0.008519345238095237
10015,2.1922354760712044,2,0.008482142857142856
10016,2.2194266138576673,0,0.008482142857142856
10017,2.1481903950747103,1,0.008500744047619047
10018,2.0764232120071773,1,0.008519345238095237
10019,2.1031598222926764,0,0.008519345238095237
10020,2.1299830137168554,0,0.008519345238095237
10021,2.1568683869509444,0,0.008519345238095237
10022,2.1837991229914824,0,0.008519345238095237
10023,2.2107631959879765,0,0.008519345238095237
10024,2.1403673760838875,1,0.008519345238095237
10025,2.1674134731595327,0,0.008519345238095237
10026,2.194473214671013,0,0.008519345238095237
10027,2.221542501807217,0,0.008519345238095237
10028,2.2486180624547187,0,0.008519345238095237
10029,2.1772730161088085,1,0.008463541666666666
10030,2.1059687753202265,1,0.008482142857142856
10031,2.1331243829075457,0,0.008482142857142856
10032,2.1551552079129594,0,0.008482142857142856
10033,2.1818092793894652,0,0.008482142857142856
10034,2.208453925309937,0,0.008482142857142856
10035,2.235088771933932,0,0.008482142857142856
10036,2.2617134440326625,0,0.008482142857142856
10037,2.288394580618144,0,0.008482142857142856
10038,2.3152335730705054,0,0.008482142857142856
10039,2.3421582654618636,0,0.008482142857142856
10040,2.2702052723922366,1,0.008537946428571428
10041,2.297251161943107,0,0.008537946428571428
10042,2.324315820607262,0,0.008537946428571428
10043,2.3513908307020785,0,0.008537946428571428
10044,2.2801849265743295,1,0.00855654761904762
10045,2.307315073593974,0,0.00855654761904762
10046,2.3344429072483153,0,0.00855654761904762
10047,2.361565977395156,0,0.00855654761904762
10048,2.388682309927978,0,0.00855654761904762
10049,2.3173660403329337,1,0.00859375
10050,2.344499386273103,0,0.00859375
10051,2.1749064020742224,2,0.008649553571428572
10052,2.1031234219247494,1,0.008649553571428572
10053,2.0315349375294645,1,0.008686755952380953
10054,2.0580315186693885,0,0.008686755952380953
10055,2.084545552542168,0,0.008686755952380953
10056,2.1110719864317447,0,0.008686755952380953
10057,2.1376068985811862,0,0.008686755952380953
10058,2.1641471653996085,0,0.008686755952380953
10059,2.1906902494125644,0,0.008686755952380953
10060,2.1156486917122925,1,0.008686755952380953
10061,2.1417191501324737,0,0.008686755952380953
10062,2.167782127313681,0,0.008686755952380953
10063,2.19383708926108,0,0.008686755952380953
10064,2.219883505284277,0,0.008686755952380953
10065,2.245994026439882,0,0.008686755952380953
10066,2.272254043387461,0,0.008686755952380953
10067,2.298871957792095,0,0.008686755952380953
10068,2.227056423223033,1,0.008686755952380953
10069,2.1552653839919587,1,0.008668154761904762
10070,2.181408765335988,0,0.008668154761904762
10071,2.2076336159129646,0,0.008668154761904762
10072,2.2339159528333163,0,0.008668154761904762
10073,2.2602392843564907,0,0.008668154761904762
10074,2.1881800806696745,1,0.008686755952380953
10075,2.2145891935468796,0,0.008686755952380953
10076,2.2410130238116466,0,0.008686755952380953
10077,2.267446486072101,0,0.008686755952380953
10078,2.2938686875030982,0,0.008686755952380953
10079,2.3202936850003932,0,0.008686755952380953
10080,2.346718624765579,0,0.008686755952380953
10081,2.373141069913932,0,0.008686755952380953
10082,2.394928375817593,0,0.008686755952380953
10083,2.322437261123053,1,0.008686755952380953
10084,2.250622170381736,1,0.008630952380952382
10085,2.2766685411870866,0,0.008630952380952382
10086,2.204292551012644,1,0.008630952380952382
10087,2.23048803961768,0,0.008630952380952382
10088,2.2568106771991037,0,0.008630952380952382
10089,2.184783424466858,1,0.008612351190476191
10090,2.211197880775242,0,0.008612351190476191
10091,2.1401608694126857,1,0.008630952380952382
10092,2.1667974854717666,0,0.008630952380952382
10093,2.193430214014524,0,0.008630952380952382
10094,2.2200580015268083,0,0.008630952380952382
10095,2.246679934599272,0,0.008630952380952382
10096,2.1748709743010597,1,0.008630952380952382
