time,avgSpeed,flow,avgDensity
10001,1.0520391343592257,0,0.014676339285714286
10002,1.0656011413358955,0,0.014676339285714286
10003,1.079159746010598,0,0.014676339285714286
10004,1.0927147777030104,0,0.014676339285714286
10005,1.1062660501461608,0,0.014676339285714286
10006,1.0639159935470537,1,0.014620535714285714
10007,1.0212369988067211,1,0.014583333333333334
10008,1.0348167849106604,0,0.014583333333333334
10009,1.048393109361441,0,0.014583333333333334
10010,1.0619666263027123,0,0.014583333333333334
10011,1.0755364402412728,0,0.014583333333333334
10012,1.0891024049162792,0,0.014583333333333334
10013,1.1026643735647021,0,0.014583333333333334
10014,1.1162293078479806,0,0.014583333333333334
10015,1.1297897178451315,0,0.014583333333333334
10016,1.1433454781020957,0,0.014583333333333334
10017,1.1568964482803161,0,0.014583333333333334
10018,1.1704424852175064,0,0.014583333333333334
10019,1.1839834427647888,0,0.014583333333333334
10020,1.197519171619041,0,0.014583333333333334
10021,1.154793283232455,1,0.014583333333333334
10022,1.1683154618399352,0,0.014583333333333334
10023,1.1818340637803508,0,0.014583333333333334
10024,1.1953487321975316,0,0.014583333333333334
10025,1.2088591388498502,0,0.014583333333333334
10026,1.2223655950260814,0,0.014583333333333334
10027,1.2358672252198022,0,0.014583333333333334
10028,1.1931213123698132,1,0.014601934523809524
10029,1.2066325110830252,0,0.014601934523809524
10030,1.1079944885428819,2,0.014508928571428572
10031,1.1215373106503586,0,0.014508928571428572
10032,1.1350754708193318,0,0.014508928571428572
10033,1.148608764756504,0,0.014508928571428572
10034,1.162137002780999,0,0.014508928571428572
10035,1.119421204801057,1,0.014490327380952382
10036,1.1329785492976778,0,0.014490327380952382
10037,1.1465316809453867,0,0.014490327380952382
10038,1.1600804552897817,0,0.014490327380952382
10039,1.1736247161599282,0,0.014490327380952382
10040,1.1871643073608245,0,0.014490327380952382
10041,1.2006990723302253,0,0.014490327380952382
10042,1.1583195823393937,1,0.014471726190476191
10043,1.1718637782282872,0,0.014471726190476191
